Date and Time,Steps,Floors,Calories Burned,Elevation Gained,Feet - ignore,Miles,Miles - ignore,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,Cycle Day
"January 1, 2017",3325,4,1823,40,feet,0.88,miles,730,180,0,0,26
"January 2, 2017",5632,9,1960,90,feet,1.61,miles,835,177,34,0,1
"January 3, 2017",6315,7,2164,70,feet,1.67,miles,849,225,56,4,2
"January 4, 2017",4384,1,1942,10,feet,1.21,miles,880,167,14,10,3
"January 5, 2017",2877,6,1748,60,feet,0.78,miles,838,158,0,0,4
"January 6, 2017",4145,5,1813,50,feet,1.14,miles,885,178,0,0,5
"January 7, 2017",7881,11,2260,110,feet,2.17,miles,779,217,42,28,6
"January 8, 2017",7889,24,2290,240,feet,2.03,miles,745,242,53,13,7
"January 9, 2017",6685,8,2218,80,feet,1.83,miles,869,220,21,28,8
"January 10, 2017",5903,6,2024,60,feet,1.62,miles,657,250,0,0,9
"January 11, 2017",8845,9,2268,90,feet,2.55,miles,844,309,3,19,10
"January 12, 2017",6312,9,2108,90,feet,1.76,miles,730,190,5,38,11
"January 13, 2017",6908,11,2262,110,feet,1.97,miles,845,247,3,31,12
"January 14, 2017",9933,10,2400,100,feet,2.98,miles,695,276,23,35,13
"January 15, 2017",9800,10,2363,100,feet,2.94,miles,645,282,16,32,14
"January 16, 2017",9928,5,2366,50,feet,2.85,miles,695,245,13,55,15
"January 17, 2017",6077,4,2037,40,feet,1.73,miles,884,228,7,0,16
"January 18, 2017",17400,28,2691,280,feet,6.17,miles,755,277,24,69,17
"January 19, 2017",13275,7,2695,70,feet,4.65,miles,706,352,6,40,18
"January 20, 2017",4790,4,1860,40,feet,0.87,miles,898,154,3,20,19
"January 21, 2017",8636,14,2234,140,feet,1.71,miles,823,185,30,48,20
"January 22, 2017",10455,10,2448,100,feet,3.01,miles,706,289,32,34,21
"January 23, 2017",6067,7,2052,70,feet,1.69,miles,791,225,7,11,22
"January 24, 2017",5159,13,1979,130,feet,1.41,miles,882,249,0,0,23
"January 25, 2017",8072,7,2378,70,feet,2.26,miles,752,303,5,30,24
"January 26, 2017",7234,4,2181,40,feet,2.02,miles,817,279,18,7,25
"January 27, 2017",9691,8,2365,80,feet,2.79,miles,671,284,6,28,26
"January 28, 2017",6420,11,2016,110,feet,1.8,miles,799,249,0,0,27
"January 29, 2017",6590,15,1967,150,feet,2.04,miles,826,144,44,10,1
"January 30, 2017",7524,9,2193,90,feet,2.15,miles,862,229,4,28,2
"January 31, 2017",9716,12,2366,120,feet,2.45,miles,695,289,25,30,3
"February 1, 2017",5701,5,2035,50,feet,1.56,miles,612,263,0,0,4
"February 2, 2017",2470,2,1709,20,feet,0.7,miles,1131,29,6,31,5
"February 3, 2017",524,1,1486,10,feet,0.14,miles,1417,23,0,0,6
"February 4, 2017",4922,6,1908,60,feet,1.39,miles,1011,159,28,7,7
"February 5, 2017",4057,8,1821,80,feet,1.1,miles,872,189,0,0,8
"February 6, 2017",8168,8,2195,80,feet,2.27,miles,810,246,3,26,9
"February 7, 2017",4470,7,1869,70,feet,1.19,miles,770,215,0,0,10
