Fell Asleep At,End Time,Date of Fell Asleep,total Sleep,Total Sleep in Seconds,Time Awake,Time Awake Seconds,Awake Count,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
1/1/2017 1:39:00,1/1/2017 6:56:00,1/1/2017,,18540,6,360,1,317,,,
1/1/2017 20:27:00,1/2/2017 6:34:00,1/1/2017,,34860,22,1320,1,607,,,
1/2/2017 21:51:00,1/3/2017 5:06:00,1/2/2017,,25440,11,660,1,435,,,
1/3/2017 21:43:00,1/4/2017 6:09:00,1/3/2017,,28320,29,1740,2,506,,,
1/4/2017 22:35:00,1/5/2017 7:24:00,1/4/2017,,31020,12,720,1,529,,,
1/5/2017 21:27:00,1/6/2017 6:17:00,1/5/2017,,31020,11,660,0,529,,,
1/6/2017 22:12:00,1/7/2017 6:14:00,1/6/2017,,28620,3,180,0,482,,,
1/7/2017 22:56:00,1/8/2017 6:27:00,1/7/2017,,26400,6,360,1,451,,,
1/8/2017 23:21:00,1/9/2017 5:02:00,1/8/2017,,20280,2,120,0,341,,,
1/9/2017 22:45:00,1/10/2017 6:24:00,1/9/2017,,26460,16,960,2,459,,,
1/10/2017 21:31:00,1/11/2017 4:25:00,1/10/2017,,24540,1,60,0,414,,,
1/11/2017 22:13:00,1/12/2017 5:11:00,1/11/2017,,24840,2,120,0,418,,,
1/12/2017 21:14:00,1/13/2017 5:14:00,1/12/2017,,28260,9,540,1,480,,,
1/13/2017 22:33:00,1/14/2017 6:51:00,1/13/2017,,29400,8,480,1,498,,,
1/14/2017 22:36:00,1/15/2017 7:45:00,1/14/2017,,32220,12,720,1,549,,,
1/15/2017 23:12:00,1/16/2017 5:30:00,1/15/2017,,22020,11,660,1,378,,,
1/16/2017 21:18:00,1/17/2017 5:21:00,1/16/2017,,27540,17,1020,3,483,,,
1/17/2017 22:00:00,1/18/2017 5:15:00,1/17/2017,,26040,1,60,0,435,,,
1/18/2017 21:23:00,1/19/2017 5:07:00,1/18/2017,,26400,23,1380,2,464,,,
1/19/2017 23:31:00,1/20/2017 6:05:00,1/19/2017,,23400,2,120,0,394,,,
1/20/2017 22:00:00,1/21/2017 5:54:00,1/20/2017,,28440,0,0,0,474,,,
1/21/2017 21:34:00,1/22/2017 6:19:00,1/21/2017,,30720,13,780,1,525,,,
1/23/2017 23:14:00,1/24/2017 5:09:00,1/23/2017,,21180,2,120,0,355,,,
1/24/2017 21:25:00,1/25/2017 5:50:00,1/24/2017,,28620,28,1680,3,505,,,
