Category: All categories

Month,Insomnia: (United States)
2004-01,65
2004-02,58
2004-03,62
2004-04,69
2004-05,50
2004-06,54
2004-07,64
2004-08,60
2004-09,60
2004-10,64
2004-11,59
2004-12,61
2005-01,68
2005-02,62
2005-03,68
2005-04,63
2005-05,62
2005-06,59
2005-07,59
2005-08,67
2005-09,59
2005-10,68
2005-11,62
2005-12,52
2006-01,68
2006-02,63
2006-03,60
2006-04,61
2006-05,55
2006-06,51
2006-07,56
2006-08,56
2006-09,62
2006-10,62
2006-11,57
2006-12,55
2007-01,65
2007-02,57
2007-03,64
2007-04,56
2007-05,50
2007-06,59
2007-07,56
2007-08,55
2007-09,59
2007-10,72
2007-11,63
2007-12,52
2008-01,65
2008-02,62
2008-03,60
2008-04,61
2008-05,50
2008-06,55
2008-07,62
2008-08,56
2008-09,61
2008-10,59
2008-11,61
2008-12,56
2009-01,70
2009-02,69
2009-03,72
2009-04,62
2009-05,62
2009-06,62
2009-07,71
2009-08,73
2009-09,65
2009-10,67
2009-11,64
2009-12,67
2010-01,76
2010-02,72
2010-03,70
2010-04,66
2010-05,66
2010-06,67
2010-07,82
2010-08,74
2010-09,75
2010-10,73
2010-11,69
2010-12,71
2011-01,85
2011-02,72
2011-03,76
2011-04,75
2011-05,69
2011-06,75
2011-07,83
2011-08,83
2011-09,74
2011-10,75
2011-11,72
2011-12,72
2012-01,81
2012-02,75
2012-03,81
2012-04,76
2012-05,68
2012-06,77
2012-07,82
2012-08,88
2012-09,83
2012-10,76
2012-11,73
2012-12,74
2013-01,88
2013-02,81
2013-03,86
2013-04,78
2013-05,71
2013-06,78
2013-07,85
2013-08,82
2013-09,81
2013-10,77
2013-11,74
2013-12,72
2014-01,85
2014-02,78
2014-03,82
2014-04,79
2014-05,73
2014-06,77
2014-07,82
2014-08,86
2014-09,78
2014-10,79
2014-11,74
2014-12,77
2015-01,91
2015-02,80
2015-03,89
2015-04,78
2015-05,71
2015-06,81
2015-07,85
2015-08,85
2015-09,82
2015-10,82
2015-11,77
2015-12,80
2016-01,87
2016-02,82
2016-03,85
2016-04,81
2016-05,74
2016-06,78
2016-07,82
2016-08,78
2016-09,80
2016-10,81
2016-11,73
2016-12,80
2017-01,93
2017-02,87
2017-03,84
2017-04,83
2017-05,73
2017-06,79
2017-07,87
2017-08,87
2017-09,85
2017-10,82
2017-11,78
2017-12,79
2018-01,100
2018-02,93
2018-03,91
2018-04,87
